,Unnamed: 0,Dataset,post_id,post_title,post_creation_date,content_type,content,parent_post_id,sentiment
count,55,55,40.0,20,20,20,20,40.0,12
unique,11,5,,16,16,12,19,,12
top,count,linux,,2,3,3,2,,16724.0
freq,5,11,,4,5,5,2,,1
mean,,,24105620.810211755,,,,,12356557.538920652,
std,,,36608931.36954286,,,,,11518863.004965032,
min,,,30.0,,,,,88.0,
25%,,,3682498.75,,,,,3039563.5,
50%,,,14929783.666290682,,,,,10774242.173203427,
75%,,,24051973.08074943,,,,,18771086.0,
max,,,130306827.0,,,,,37770567.0,
